"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"04207382","幼獅實業股份有限公司","何O勲","臺北市大安區仁愛路3段17號11樓","20000000","20000000"," ","核准設立","20250901035733"
"04256658","耀中商業有限公司","","臺北市中正區忠孝東路2段80號12樓之5","5000000"," "," ","解散","20250901035733"
"04296292","富隆企業股份有限公司","陳O銘","臺北市中山區錦州街315號","60000000","60000000"," ","核准設立","20250901035733"
"04339356","鴻明實業股份有限公司","黃O穎","臺北市士林區延平北路6段475號12樓","56000000","56000000"," ","核准設立","20250901035733"
"04348947","新台塑膠工業股份有限公司","劉O隆","臺北市大同區重慶北路3段9巷31號","70000000","70000000"," ","核准設立","20250901035733"
"04368318","台美壓克力股份有限公司","許O堤","臺北市中山區中山北路2段46號12樓之1","120000000","95000000"," ","核准設立","20250901035733"
"04369442","偉得益股份有限公司","張O星","臺中市西區公益路155巷100號12樓之1","25000000","25000000"," ","核准設立","20250901035733"
"04397411","高銀化學工業股份有限公司","鄔O宇","新北市汐止區中興路95號7樓之3","860000000","445057890"," ","核准設立","20250901035733"
"04403363","大華金屬工業股份有限公司","姜O理","臺北市中山區松江路293之805號","3300000000","3050000000"," ","核准設立","20250901035733"
"04454101","脫普聚益股份有限公司","洪O輝","臺北市松山區南京東路3段275號5樓","160000000","160000000"," ","核准設立","20250901035733"
"04495270","博建企業股份有限公司","林O芬","桃園市龍潭區中豐路533巷70號","112000000","112000000"," ","核准設立","20250901035733"
"04499992","力躍有限公司","張O","桃園市蘆竹區內厝里長興路1段105號","10000000"," "," ","核准設立","20250901035733"
"04515796","凱田實業有限公司","邱O雄","臺北市大同區延平北路1段38號1樓","175000000"," "," ","核准設立","20250901035733"
"04516922","新進機電廠股份有限公司","章O明","桃園市龜山區樂善里文明路70號","27000000","27000000"," ","核准設立","20250901035733"
"04543250","天生塑膠實業有限公司","湯O恭","新北市土城區中央路1段246號1樓","3000000"," "," ","核准設立","20250901035733"
"04574892","國賓壓克力企業有限公司","吳O真","新北市中和區中山路2段366巷17號","10000000"," "," ","核准設立","20250901035733"
"04585321","德基實業有限公司","李O基","新北市板橋區和平路29號地下室","4000000"," "," ","核准設立","20250901035733"
"04604354","展億壓克力股份有限公司","","臺北市南港區福德街373巷29號1樓","10000000","10000000"," ","解散","20250901035733"
"04621939","台豐輕量鋼管股份有限公司","劉O煥","臺北市大安區和平東路2段18巷17號3樓","19800000","19800000"," ","核准設立","20250901035733"
"04662001","複成企業股份有限公司","林O文","臺北市內湖區堤頂大道2段475號3樓","120000000","120000000"," ","核准設立","20250901035733"
"04679663","鼎創達股份有限公司","莫O然","新北市土城區中央路四段51號8樓之3","12000000000","3269624360"," ","核准設立","20250901035733"
"04699540","新年代實業股份有限公司","謝O峰","新北市林口區工二工業區工七路2號","20000000","20000000"," ","核准設立","20250901035733"
"04699577","源協企業有限公司","張O泉","臺北市中山區松江路426號12樓","70000000"," "," ","核准設立","20250901035733"
"04741462","昌久金屬科技有限公司","劉O翔","桃園市楊梅區高上里高獅路863巷2弄12號","52810000"," "," ","核准設立","20250901035733"
"04787620","上祐實業股份有限公司","謝O悌","苗栗縣頭份市濫坑里13鄰尖豐路828號","96000000","5000000"," ","核准設立","20250901035733"
"04789211","昇貿科技股份有限公司","李O蓮","桃園市觀音區大潭北路665號","2000000000","1342374740"," ","核准設立","20250901035733"
"04792742","甘霖國際物流股份有限公司","甘O榮玉","臺北市中山區中山北路2段68號3樓","396800000","396800000"," ","核准設立","20250901035733"
"04799169","本源興股份有限公司","廖O泉","臺北市大安區忠孝東路4段278號5樓","115000000","115000000"," ","核准設立","20250901035733"
"04824343","和熠有限公司","林O仁","新北市汐止區福德一路351巷2號","11000000"," "," ","核准設立","20250901035733"
